line_id,date,recon_error,threshold,is_anomaly
L-09,2022-02-23,0.546151,0.885823,0
L-09,2022-02-24,0.537368,0.885823,0
L-09,2022-02-25,0.555895,0.885823,0
L-09,2022-02-26,0.556374,0.885823,0
L-09,2022-02-27,0.546313,0.885823,0
L-09,2022-02-28,0.532358,0.885823,0
L-09,2022-03-01,0.526702,0.885823,0
L-09,2022-03-02,0.452181,0.885823,0
L-09,2022-03-03,0.457362,0.885823,0
L-09,2022-03-04,0.472346,0.885823,0
L-09,2022-03-05,0.499131,0.885823,0
L-09,2022-03-06,0.487156,0.885823,0
L-09,2022-03-07,0.531861,0.885823,0
L-09,2022-03-08,0.531517,0.885823,0
L-09,2022-03-09,0.535212,0.885823,0
L-09,2022-03-10,0.54921,0.885823,0
L-09,2022-03-11,0.549978,0.885823,0
L-09,2022-03-12,0.545513,0.885823,0
L-09,2022-03-13,0.562389,0.885823,0
L-09,2022-03-14,0.559551,0.885823,0
L-09,2022-03-15,0.565912,0.885823,0
L-09,2022-03-16,0.563704,0.885823,0
L-09,2022-03-17,0.52313,0.885823,0
L-09,2022-03-18,0.503668,0.885823,0
L-09,2022-03-19,0.487938,0.885823,0
L-09,2022-03-20,0.480435,0.885823,0
L-09,2022-03-21,0.483,0.885823,0
L-09,2022-03-22,0.50896,0.885823,0
L-09,2022-03-23,0.530178,0.885823,0
L-09,2022-03-24,0.523234,0.885823,0
L-09,2022-03-25,0.516406,0.885823,0
L-09,2022-03-26,0.611105,0.885823,0
L-09,2022-03-27,0.607241,0.885823,0
L-09,2022-03-28,0.632627,0.885823,0
L-09,2022-03-29,0.642699,0.885823,0
L-09,2022-03-30,0.63824,0.885823,0
L-09,2022-03-31,0.623923,0.885823,0
L-09,2022-04-01,0.618601,0.885823,0
L-09,2022-04-02,0.61639,0.885823,0
L-09,2022-04-03,0.642278,0.885823,0
L-09,2022-04-04,0.647863,0.885823,0
L-09,2022-04-05,0.642914,0.885823,0
L-09,2022-04-06,0.637136,0.885823,0
L-09,2022-04-07,0.693932,0.885823,0
L-09,2022-04-08,0.735038,0.885823,0
L-09,2022-04-09,0.722966,0.885823,0
L-09,2022-04-10,0.705225,0.885823,0
L-09,2022-04-11,0.693184,0.885823,0
L-09,2022-04-12,0.680229,0.885823,0
L-09,2022-04-13,0.669545,0.885823,0
L-09,2022-04-14,0.705306,0.885823,0
L-09,2022-04-15,0.724369,0.885823,0
L-09,2022-04-16,0.735983,0.885823,0
L-09,2022-04-17,0.733411,0.885823,0
L-09,2022-04-18,0.729252,0.885823,0
L-09,2022-04-19,0.741554,0.885823,0
L-09,2022-04-20,0.751885,0.885823,0
L-09,2022-04-21,0.733368,0.885823,0
L-09,2022-04-22,0.713529,0.885823,0
L-09,2022-04-23,0.731425,0.885823,0
L-09,2022-04-24,0.718739,0.885823,0
L-09,2022-04-25,0.646966,0.885823,0
L-09,2022-04-26,0.641907,0.885823,0
L-09,2022-04-27,0.608578,0.885823,0
L-09,2022-04-28,0.614944,0.885823,0
L-09,2022-04-29,0.610611,0.885823,0
L-09,2022-04-30,0.602489,0.885823,0
L-09,2022-05-01,0.606242,0.885823,0
L-09,2022-05-02,0.596509,0.885823,0
L-09,2022-05-03,0.58526,0.885823,0
L-09,2022-05-04,0.569205,0.885823,0
L-09,2022-05-05,0.562033,0.885823,0
L-09,2022-05-06,0.559018,0.885823,0
L-09,2022-05-07,0.520477,0.885823,0
L-09,2022-05-08,0.507325,0.885823,0
L-09,2022-05-09,0.542383,0.885823,0
L-09,2022-05-10,0.57736,0.885823,0
L-09,2022-05-11,0.612613,0.885823,0
L-09,2022-05-12,0.639945,0.885823,0
L-09,2022-05-13,0.622459,0.885823,0
L-09,2022-05-14,0.576364,0.885823,0
L-09,2022-05-15,0.570906,0.885823,0
L-09,2022-05-16,0.553147,0.885823,0
L-09,2022-05-17,0.557925,0.885823,0
L-09,2022-05-18,0.568639,0.885823,0
L-09,2022-05-19,0.56101,0.885823,0
L-09,2022-05-20,0.571215,0.885823,0
L-09,2022-05-21,0.606639,0.885823,0
L-09,2022-05-22,0.588757,0.885823,0
L-09,2022-05-23,0.596861,0.885823,0
L-09,2022-05-24,0.581908,0.885823,0
L-09,2022-05-25,0.568848,0.885823,0
L-09,2022-05-26,0.586061,0.885823,0
L-09,2022-05-27,0.596968,0.885823,0
L-09,2022-05-28,0.593077,0.885823,0
L-09,2022-05-29,0.581229,0.885823,0
L-09,2022-05-30,0.59012,0.885823,0
L-09,2022-05-31,0.588332,0.885823,0
L-09,2022-06-01,0.612841,0.885823,0
